generation,best_fitness,avg_fitness,best_metrics
1,37.20318188266998,-inf,"{'total_trades': 578, 'winning_trades': 281, 'losing_trades': 297, 'win_rate': 48.615916955017305, 'total_return': np.float64(374.3347960648853), 'avg_win': np.float64(2.0046603495877404), 'avg_loss': np.float64(-0.6362786605025917), 'profit_factor': np.float64(2.980871899336397), 'max_drawdown': np.float64(24.492678058591594), 'sharpe_ratio': np.float64(206.85368715234986)}"
2,37.4326727026185,-872.2310456937372,"{'total_trades': 593, 'winning_trades': 290, 'losing_trades': 303, 'win_rate': 48.90387858347386, 'total_return': np.float64(376.42006696612714), 'avg_win': np.float64(1.9742662574065741), 'avg_loss': np.float64(-0.6472513124811197), 'profit_factor': np.float64(2.9193633571344226), 'max_drawdown': np.float64(24.492678058591594), 'sharpe_ratio': np.float64(211.1701475193448)}"
3,37.44479809184587,-inf,"{'total_trades': 593, 'winning_trades': 290, 'losing_trades': 303, 'win_rate': 48.90387858347386, 'total_return': np.float64(376.5134931162221), 'avg_win': np.float64(1.9742662574065741), 'avg_loss': np.float64(-0.6469429753520934), 'profit_factor': np.float64(2.9207547442433612), 'max_drawdown': np.float64(24.492678058591594), 'sharpe_ratio': np.float64(211.27211654726958)}"
4,37.44479809184587,-inf,"{'total_trades': 593, 'winning_trades': 290, 'losing_trades': 303, 'win_rate': 48.90387858347386, 'total_return': np.float64(376.5134931162221), 'avg_win': np.float64(1.9742662574065741), 'avg_loss': np.float64(-0.6469429753520934), 'profit_factor': np.float64(2.9207547442433612), 'max_drawdown': np.float64(24.492678058591594), 'sharpe_ratio': np.float64(211.27211654726958)}"
5,41.24706380490659,-inf,"{'total_trades': 634, 'winning_trades': 323, 'losing_trades': 311, 'win_rate': 50.94637223974764, 'total_return': np.float64(392.6965042900914), 'avg_win': np.float64(1.7016793061798259), 'avg_loss': np.float64(-0.5046492334597827), 'profit_factor': np.float64(3.502113628011815), 'max_drawdown': np.float64(13.715057830991567), 'sharpe_ratio': np.float64(248.43138730814348)}"
6,43.03375676707342,-299.4168167737426,"{'total_trades': 554, 'winning_trades': 274, 'losing_trades': 280, 'win_rate': 49.458483754512635, 'total_return': np.float64(419.1832510872134), 'avg_win': np.float64(2.1560658223382685), 'avg_loss': np.float64(-0.6127813722624006), 'profit_factor': np.float64(3.443094890547882), 'max_drawdown': np.float64(25.79399852741368), 'sharpe_ratio': np.float64(210.37215140752525)}"
7,45.31038071096296,-inf,"{'total_trades': 632, 'winning_trades': 322, 'losing_trades': 310, 'win_rate': 50.9493670886076, 'total_return': np.float64(428.5895596909983), 'avg_win': np.float64(1.817087517681454), 'avg_loss': np.float64(-0.5048794225884836), 'profit_factor': np.float64(3.738370598779662), 'max_drawdown': np.float64(13.715057830991567), 'sharpe_ratio': np.float64(244.9212584975075)}"
8,45.31038071096296,-inf,"{'total_trades': 632, 'winning_trades': 322, 'losing_trades': 310, 'win_rate': 50.9493670886076, 'total_return': np.float64(428.5895596909983), 'avg_win': np.float64(1.817087517681454), 'avg_loss': np.float64(-0.5048794225884836), 'profit_factor': np.float64(3.738370598779662), 'max_drawdown': np.float64(13.715057830991567), 'sharpe_ratio': np.float64(244.9212584975075)}"
9,46.865213156667245,16.46925217852061,"{'total_trades': 658, 'winning_trades': 335, 'losing_trades': 323, 'win_rate': 50.911854103343465, 'total_return': np.float64(442.759127561269), 'avg_win': np.float64(1.7908973153493333), 'avg_loss': np.float64(-0.4866609073707666), 'profit_factor': np.float64(3.816686674434307), 'max_drawdown': np.float64(15.981458683651836), 'sharpe_ratio': np.float64(263.64159227269096)}"
10,46.865213156667245,-inf,"{'total_trades': 658, 'winning_trades': 335, 'losing_trades': 323, 'win_rate': 50.911854103343465, 'total_return': np.float64(442.759127561269), 'avg_win': np.float64(1.7908973153493333), 'avg_loss': np.float64(-0.4866609073707666), 'profit_factor': np.float64(3.816686674434307), 'max_drawdown': np.float64(15.981458683651836), 'sharpe_ratio': np.float64(263.64159227269096)}"
11,48.06628428237677,-2042.1377153091007,"{'total_trades': 601, 'winning_trades': 313, 'losing_trades': 288, 'win_rate': 52.079866888519135, 'total_return': np.float64(441.2157457927411), 'avg_win': np.float64(1.8498173949542593), 'avg_loss': np.float64(-0.47839270426368796), 'profit_factor': np.float64(4.2023881294215455), 'max_drawdown': np.float64(14.413896564867454), 'sharpe_ratio': np.float64(249.7893932536999)}"
12,48.70236569673325,-inf,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
13,48.70236569673325,-inf,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
14,48.70236569673325,-inf,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
15,48.70236569673325,-inf,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
16,48.70236569673325,-85.9546715840965,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
17,48.70236569673325,-inf,"{'total_trades': 603, 'winning_trades': 314, 'losing_trades': 289, 'win_rate': 52.072968490878935, 'total_return': np.float64(446.7110392494399), 'avg_win': np.float64(1.8607360301240174), 'avg_loss': np.float64(-0.47598641594983215), 'profit_factor': np.float64(4.2473887631748966), 'max_drawdown': np.float64(14.165467945909343), 'sharpe_ratio': np.float64(251.8674078555564)}"
18,48.71398633475708,-inf,"{'total_trades': 580, 'winning_trades': 301, 'losing_trades': 279, 'win_rate': 51.89655172413793, 'total_return': np.float64(445.0608235483031), 'avg_win': np.float64(1.9160892608876423), 'avg_loss': np.float64(-0.47197865225403995), 'profit_factor': np.float64(4.379814058928904), 'max_drawdown': np.float64(13.715057830991567), 'sharpe_ratio': np.float64(244.01467256544908)}"
19,49.0609429132981,-110.38738263360703,"{'total_trades': 612, 'winning_trades': 315, 'losing_trades': 297, 'win_rate': 51.470588235294116, 'total_return': np.float64(454.0807498212315), 'avg_win': np.float64(1.8907695431740486), 'avg_loss': np.float64(-0.47647022316024856), 'profit_factor': np.float64(4.208786906763944), 'max_drawdown': np.float64(14.413896564867454), 'sharpe_ratio': np.float64(252.25880703061637)}"
20,49.75953871080596,-inf,"{'total_trades': 607, 'winning_trades': 314, 'losing_trades': 293, 'win_rate': 51.72981878088962, 'total_return': np.float64(458.41203477451273), 'avg_win': np.float64(1.9054522399993261), 'avg_loss': np.float64(-0.47747429551288606), 'profit_factor': np.float64(4.27671292145494), 'max_drawdown': np.float64(14.413896564867454), 'sharpe_ratio': np.float64(253.46845705373852)}"
